From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Pathway	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology IDs
A0A024R6N5	A0A024R6N5	unreviewed	A0A024R6N5_HUMAN	Serpin family A member 1 (Serpin peptidase inhibitor, clade A (Alpha-1 antiproteinase, antitrypsin), member 1, isoform CRA_a)	SERPINA1 hCG_2029168	Homo sapiens (Human)	418			extracellular space [GO:0005615]; serine-type endopeptidase inhibitor activity [GO:0004867]	GO:0004867; GO:0005615
A0A075B6H7	A0A075B6H7	reviewed	KV37_HUMAN	Probable non-functional immunoglobulin kappa variable 3-7	IGKV3-7	Homo sapiens (Human)	116		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005615; GO:0005886; GO:0006955; GO:0019814
A0A075B6I0	A0A075B6I0	reviewed	LV861_HUMAN	Immunoglobulin lambda variable 8-61	IGLV8-61	Homo sapiens (Human)	122		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005615; GO:0005886; GO:0006955; GO:0019814
A0A075B6I9	A0A075B6I9	reviewed	LV746_HUMAN	Immunoglobulin lambda variable 7-46	IGLV7-46	Homo sapiens (Human)	117		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005615; GO:0005886; GO:0006955; GO:0019814
A0A075B6J9	A0A075B6J9	reviewed	LV218_HUMAN	Immunoglobulin lambda variable 2-18	IGLV2-18	Homo sapiens (Human)	118		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005615; GO:0005886; GO:0006955; GO:0019814
A0A075B6K0	A0A075B6K0	reviewed	LV316_HUMAN	Immunoglobulin lambda variable 3-16	IGLV3-16	Homo sapiens (Human)	115		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005615; GO:0005886; GO:0006955; GO:0019814
A0A075B6K4	A0A075B6K4	reviewed	LV310_HUMAN	Immunoglobulin lambda variable 3-10	IGLV3-10	Homo sapiens (Human)	115		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005615; GO:0005886; GO:0006955; GO:0019814
A0A075B6K5	A0A075B6K5	reviewed	LV39_HUMAN	Immunoglobulin lambda variable 3-9	IGLV3-9	Homo sapiens (Human)	115		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005615; GO:0005886; GO:0006955; GO:0019814
A0A075B6P5	A0A075B6P5	reviewed	KV228_HUMAN	Immunoglobulin kappa variable 2-28	IGKV2-28	Homo sapiens (Human)	120		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005615; GO:0005886; GO:0006955; GO:0019814
P01615	P01615	reviewed	KVD28_HUMAN	Immunoglobulin kappa variable 2D-28 (Ig kappa chain V-II region FR) (Ig kappa chain V-II region GM607) (Ig kappa chain V-II region MIL) (Ig kappa chain V-II region TEW)	IGKV2D-28	Homo sapiens (Human)	120		adaptive immune response [GO:0002250]; immune response [GO:0006955]	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0003823; GO:0005576; GO:0005615; GO:0005886; GO:0006955; GO:0019814; GO:0070062; GO:0072562
A0A075B6R9	A0A075B6R9	reviewed	KVD24_HUMAN	Probable non-functional immunoglobulin kappa variable 2D-24	IGKV2D-24	Homo sapiens (Human)	120		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005615; GO:0005886; GO:0006955; GO:0019814
A0A0C4DH68	A0A0C4DH68	reviewed	KV224_HUMAN	Immunoglobulin kappa variable 2-24	IGKV2-24	Homo sapiens (Human)	120		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005615; GO:0005886; GO:0006955; GO:0019814
A0A075B6S2	A0A075B6S2	reviewed	KVD29_HUMAN	Immunoglobulin kappa variable 2D-29	IGKV2D-29	Homo sapiens (Human)	120		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005615; GO:0005886; GO:0006955; GO:0019814
A0A075B6S5	A0A075B6S5	reviewed	KV127_HUMAN	Immunoglobulin kappa variable 1-27	IGKV1-27	Homo sapiens (Human)	117		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005615; GO:0005886; GO:0006955; GO:0019814
A0A087WSY4	A0A087WSY4	reviewed	HV432_HUMAN	Immunoglobulin heavy variable 4-30-2	IGHV4-30-2	Homo sapiens (Human)	118		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814
A0A087WSY6	A0A087WSY6	reviewed	KVD15_HUMAN	Immunoglobulin kappa variable 3D-15	IGKV3D-15	Homo sapiens (Human)	115		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005615; GO:0005886; GO:0006955; GO:0019814
A0A087WSZ0	A0A087WSZ0	reviewed	KVD08_HUMAN	Immunoglobulin kappa variable 1D-8	IGKV1D-8	Homo sapiens (Human)	117		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005615; GO:0005886; GO:0006955; GO:0019814
A0A087WW87	A0A087WW87	reviewed	KV240_HUMAN	Immunoglobulin kappa variable 2-40	IGKV2-40	Homo sapiens (Human)	121		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005615; GO:0005886; GO:0006955; GO:0019814
P01614	P01614	reviewed	KVD40_HUMAN	Immunoglobulin kappa variable 2D-40 (Ig kappa chain V-II region Cum)	IGKV2D-40	Homo sapiens (Human)	121		adaptive immune response [GO:0002250]; immune response [GO:0006955]	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0003823; GO:0005576; GO:0005615; GO:0005886; GO:0006955; GO:0019814; GO:0070062; GO:0072562
A0A087WYL5	A0A087WYL5	unreviewed	A0A087WYL5_HUMAN	Seizure related 6 homolog like 2	SEZ6L2	Homo sapiens (Human)	923		adult locomotory behavior [GO:0008344]; cerebellar Purkinje cell layer development [GO:0021680]; regulation of protein kinase C signaling [GO:0090036]; synapse maturation [GO:0060074]	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; adult locomotory behavior [GO:0008344]; cerebellar Purkinje cell layer development [GO:0021680]; regulation of protein kinase C signaling [GO:0090036]; synapse maturation [GO:0060074]	GO:0005783; GO:0008344; GO:0016020; GO:0021680; GO:0043025; GO:0060074; GO:0090036
A0A087X0M8	A0A087X0M8	unreviewed	A0A087X0M8_HUMAN	Cell adhesion molecule L1 like	CHL1	Homo sapiens (Human)	1171		cell adhesion [GO:0007155]	membrane [GO:0016020]; cell adhesion [GO:0007155]	GO:0007155; GO:0016020
A0A096LPE2	A0A096LPE2	unreviewed	A0A096LPE2_HUMAN	SAA2-SAA4 readthrough	SAA2-SAA4	Homo sapiens (Human)	208		acute-phase response [GO:0006953]	high-density lipoprotein particle [GO:0034364]; acute-phase response [GO:0006953]	GO:0006953; GO:0034364
A0A0A0MS15	A0A0A0MS15	reviewed	HV349_HUMAN	Immunoglobulin heavy variable 3-49	IGHV3-49	Homo sapiens (Human)	119		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814
