Entry	Entry Name	Protein names	Gene Names	GO
P04217	A1BG_HUMAN	Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)	A1BG	other
P01023	A2MG_HUMAN	Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)	A2M CPAMD5 FWP007	acute-phase response [GO:0006953]
Q96IU4	ABHEB_HUMAN	Putative protein-lysine deacylase ABHD14B (EC 2.3.1.-) (Alpha/beta hydrolase domain-containing protein 14B) (Abhydrolase domain-containing protein 14B) (CCG1-interacting factor B)	ABHD14B CIB	positive regulation of transcription by RNA polymerase II [GO:0045944]
P62736	ACTA_HUMAN	Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]	ACTA2 ACTSA ACTVS GIG46	positive regulation of gene expression [GO:0010628]
P62736;P63267	ACTA_HUMAN; ACTA_HUMAN; ACTA_HUMAN; ACTA_HUMAN; ACTA_HUMAN; ACTA_HUMAN; ACTA_HUMAN; ACTA_HUMAN; ACTA_HUMAN; ACTA_HUMAN; ACTA_HUMAN; ACTA_HUMAN; ACTH_HUMAN; ACTH_HUMAN	Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]; Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]; Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]; Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]; Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]; Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]; Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]; Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]; Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]; Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]; Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]; Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]; Actin, gamma-enteric smooth muscle (EC 3.6.4.-) (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]; Actin, gamma-enteric smooth muscle (EC 3.6.4.-) (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]	ACTA2 ACTSA ACTVS GIG46; ACTA2 ACTSA ACTVS GIG46; ACTA2 ACTSA ACTVS GIG46; ACTA2 ACTSA ACTVS GIG46; ACTA2 ACTSA ACTVS GIG46; ACTA2 ACTSA ACTVS GIG46; ACTA2 ACTSA ACTVS GIG46; ACTA2 ACTSA ACTVS GIG46; ACTA2 ACTSA ACTVS GIG46; ACTA2 ACTSA ACTVS GIG46; ACTA2 ACTSA ACTVS GIG46; ACTA2 ACTSA ACTVS GIG46; ACTG2 ACTA3 ACTL3 ACTSG; ACTG2 ACTA3 ACTL3 ACTSG	positive regulation of gene expression [GO:0010628]
P60709	ACTB_HUMAN	Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	ACTB	positive regulation of cell population proliferation [GO:0008284]
Q562R1	ACTBL_HUMAN	Beta-actin-like protein 2 (Kappa-actin)	ACTBL2	axonogenesis [GO:0007409]
P63267	ACTH_HUMAN	Actin, gamma-enteric smooth muscle (EC 3.6.4.-) (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]	ACTG2 ACTA3 ACTL3 ACTSG	positive regulation of gene expression [GO:0010628]
P14621	ACYP2_HUMAN	Acylphosphatase-2 (EC 3.6.1.7) (Acylphosphatase, muscle type isozyme) (Acylphosphate phosphohydrolase 2)	ACYP2 ACYP	other
Q9NZK5	ADA2_HUMAN	Adenosine deaminase 2 (EC 3.5.4.4) (Cat eye syndrome critical region protein 1)	ADA2 ADGF CECR1 IDGFL	other
Q9P0K1	ADA22_HUMAN	Disintegrin and metalloproteinase domain-containing protein 22 (ADAM 22) (Metalloproteinase-disintegrin ADAM22-3) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 2)	ADAM22 MDC2	cell adhesion [GO:0007155]
O60241	AGRB2_HUMAN	Adhesion G protein-coupled receptor B2 (Brain-specific angiogenesis inhibitor 2)	ADGRB2 BAI2	cell surface receptor signaling pathway [GO:0007166]
O60242	AGRB3_HUMAN	Adhesion G protein-coupled receptor B3 (Brain-specific angiogenesis inhibitor 3)	ADGRB3 BAI3 KIAA0550	cell surface receptor signaling pathway [GO:0007166]
O94910	AGRL1_HUMAN	Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1) (Lectomedin-2)	ADGRL1 KIAA0821 LEC2 LPHN1	cell surface receptor signaling pathway [GO:0007166]
A0A804HKL8	A0A804HKL8_HUMAN	Adhesion G protein-coupled receptor L3	ADGRL3	cell surface receptor signaling pathway [GO:0007166]
A0A804HKL8;E7EN28;E7ESV6;E7ETE3;E7EUP0;E7EUW2;E7EVD6;E7EX52	A0A804HKL8_HUMAN; E7EN28_HUMAN; E7ESV6_HUMAN; E7ETE3_HUMAN; E7EUP0_HUMAN; E7EUW2_HUMAN; E7EVD6_HUMAN; E7EX52_HUMAN	Adhesion G protein-coupled receptor L3; Adhesion G protein-coupled receptor L3; Adhesion G protein-coupled receptor L3; Adhesion G protein-coupled receptor L3; Adhesion G protein-coupled receptor L3; Adhesion G protein-coupled receptor L3; Adhesion G protein-coupled receptor L3; Adhesion G protein-coupled receptor L3	ADGRL3; ADGRL3; ADGRL3; ADGRL3; ADGRL3; ADGRL3; ADGRL3; ADGRL3	cell surface receptor signaling pathway [GO:0007166]
